city_id,deaths_avoided,lower,upper,pm25_observed,pm25_no_depopulation,pm25_change
110000,334.120489446433,324.637561795157,345.06377359869,35.3569808579869,36.0403711961637,-0.6833903381768
120000,223.622417108817,217.501526495804,230.696095486497,45.2378249527158,46.029764804055,-0.791939851339201
130100,99.3782863500775,96.6841242487664,102.491459984339,49.3783042215998,49.9156938849632,-0.537389663363399
130200,197.416397217493,192.182328002533,203.47525448255,41.2715987057364,42.4446905910556,-1.1730918853192
130300,110.942702719955,108.007999033415,114.334114084015,35.3360910890741,36.7983807908616,-1.4622897017875
130400,69.7635270752436,67.8765465279394,71.9443724021455,53.285820586741,53.8030736650013,-0.517253078260296
130500,56.6022540803915,55.0812336502911,58.3621583497236,51.6112380352929,52.124710688618,-0.513472653325103
130600,119.925085540109,116.745504866058,123.601939026541,43.8418113110291,44.4066514278566,-0.564840116827504
130700,56.8490250675016,55.3624538238264,58.5662429599703,26.7779352092453,27.2344651068716,-0.4565298976263
130800,80.3009825400501,78.1731529453616,82.7709445708987,26.208346411397,27.1552027191645,-0.946856307767501
130900,78.2042526193793,76.1455763689602,80.5809909843638,48.4032387247743,49.0113013807368,-0.608062655962506
131000,62.8095867204543,61.1164729842196,64.7722881570634,45.8715866167542,46.6051539026604,-0.733567285906197
131100,42.7360504101877,41.6098273847619,44.0369809266845,50.7690683326224,51.3131128726853,-0.544044540062899
140100,45.3935050234393,44.1052750748076,46.8833145683539,38.1905281672057,38.6541836227446,-0.463655455538898
140200,31.3590958162147,30.5087296386785,32.3424342541388,29.8290859413444,30.2364183028998,-0.407332361555401
140300,12.0467948768241,11.7295146644943,12.4150842441433,39.1417860494198,39.5776363048723,-0.4358502554525
140400,29.6692332154971,28.8903167532425,30.5757487470422,40.9891015833915,41.49988214668,-0.510780563288499
140500,22.5877558530077,22.0088050426617,23.2636259534181,42.3311228467202,42.9069893615337,-0.575866514813498
140600,14.2713130322639,13.8778203364553,14.7263828846657,31.0693753754433,31.4748860652488,-0.405510689805499
140700,31.0653156639769,30.2305970873464,32.0319186292484,39.0708765740523,39.5338958069412,-0.463019232888904
140800,104.617881215902,101.854465963239,107.811023609206,47.8848243647004,49.0885574642064,-1.203733099506
140900,28.3874066375652,27.623836161305,29.2698545220351,32.0384878778986,32.4410994863817,-0.402611608483099
141000,56.966328795546,55.4357890102694,58.740113680648,41.5651287296916,42.366834717292,-0.8017059876004
141100,34.4225590411304,33.4905253584007,35.5032579918956,35.6011281926825,36.1457921433505,-0.544663950667996
150100,35.4654201119467,34.4962106301163,36.5887245259282,31.0898422547591,31.5872061979192,-0.497363943160103
150200,33.156595081349,32.2639698548164,34.1873119825267,27.2383118656384,27.715043403935,-0.476731538296598
150300,7.2320382093742,7.03741503075278,7.4578438942539,35.4614656968734,36.1309601161844,-0.669494419311
150400,148.430340118697,144.54755729625,152.94774675095,22.8880216317052,24.3920188141774,-1.5039971824722
150500,154.323927379329,150.221503739027,159.106742045604,28.4937357698645,31.2128034130099,-2.7190676431454
150600,21.959987601038,21.3584531303863,22.6612240866399,31.0032638657095,31.568040059016,-0.5647761933065
150700,131.430016342874,127.86650590396,135.561329389058,16.5281142076837,18.4364520826646,-1.9083378749809
150800,19.138581183435,18.6373530211921,19.7205516530498,30.4886436045824,31.0050393063728,-0.516395701790401
150900,16.9162102565931,16.4774625422092,17.4234064924064,24.3746564213413,24.6463516795886,-0.271695258247302
210100,825.423073721676,802.623217913969,851.753629663748,39.792075189897,43.8010994913433,-4.0090243014463
210200,541.213929725732,526.372587853708,558.315978136315,33.1305099185892,35.7953001775171,-2.6647902589279
210300,302.288334114007,294.158613496368,311.666837792453,34.6958591887728,37.8727667025375,-3.1769075137647
210400,188.326929372383,183.272052004138,194.165713598092,30.2710214778864,33.3737997019879,-3.1027782241015
210500,124.083842568971,120.774101496853,127.908630133045,28.5468783671338,31.4705260946615,-2.9236477275277
210600,203.48426328132,198.092025436508,209.707659217787,28.8803824161294,31.7682238544993,-2.8878414383699
