panel,group,estimate,lower,upper,outcome,city_id,y
d,Depopulating cities,-45.201112,,,NO[x],150900,53
d,Depopulating cities,-43.959645,,,NO[x],220200,52
d,Depopulating cities,-43.026257,,,NO[x],211400,51
d,Depopulating cities,-38.372052,,,NO[x],210800,50
d,Depopulating cities,-27.156043,,,NO[x],231000,49
d,Depopulating cities,-19.924009,,,NO[x],220300,48
d,Depopulating cities,-17.669667,,,NO[x],210400,47
d,Depopulating cities,-14.025879,,,NO[x],210700,46
d,Depopulating cities,-13.922456,,,NO[x],220700,45
d,Depopulating cities,-12.641839,,,NO[x],150800,44
d,Depopulating cities,-12.621714,,,NO[x],210900,43
d,Depopulating cities,-12.50981,,,NO[x],230500,42
d,Depopulating cities,-12.39389,,,NO[x],220800,41
d,Depopulating cities,-10.247862,,,NO[x],411100,40
d,Depopulating cities,-9.389014,,,NO[x],211200,39
d,Depopulating cities,-8.493756,,,NO[x],220500,38
d,Depopulating cities,-8.01339,,,NO[x],150700,37
d,Depopulating cities,-7.882266,,,NO[x],211000,36
d,Depopulating cities,-7.85874,,,NO[x],220600,35
d,Depopulating cities,-7.523386,,,NO[x],230400,34
d,Depopulating cities,-7.484107,,,NO[x],210600,33
d,Depopulating cities,-3.180643,,,NO[x],230700,32
d,Depopulating cities,-2.088415,,,NO[x],230300,31
d,Depopulating cities,-0.056952,,,NO[x],231100,30
d,Depopulating cities,0.111728,,,NO[x],210500,29
d,Depopulating cities,1.162099,,,NO[x],231200,28
d,Depopulating cities,1.413179,,,NO[x],210300,27
d,Depopulating cities,2.391142,,,NO[x],420300,26
d,Depopulating cities,2.810464,,,NO[x],230900,25
d,Depopulating cities,12.923248,,,NO[x],220400,24
d,Highly connected non-depopulating cities,-87.753032,,,'Industrial soot',220100,20
d,Highly connected non-depopulating cities,-49.899211,,,'Industrial soot',410400,19
d,Highly connected non-depopulating cities,-38.441775,,,'Industrial soot',150200,18
d,Highly connected non-depopulating cities,-38.21756,,,'Industrial soot',150500,17
d,Highly connected non-depopulating cities,-32.18173,,,'Industrial soot',230800,16
d,Highly connected non-depopulating cities,-29.696922,,,'Industrial soot',230100,15
d,Highly connected non-depopulating cities,-28.277238,,,'Industrial soot',130800,14
d,Highly connected non-depopulating cities,-20.700864,,,'Industrial soot',211300,13
d,Highly connected non-depopulating cities,-17.689513,,,'Industrial soot',210100,12
d,Highly connected non-depopulating cities,-16.595023,,,'Industrial soot',210200,11
d,Highly connected non-depopulating cities,-15.056912,,,'Industrial soot',130300,10
d,Highly connected non-depopulating cities,-12.628284,,,'Industrial soot',150100,9
d,Highly connected non-depopulating cities,-11.540689,,,'Industrial soot',411700,8
d,Highly connected non-depopulating cities,-9.880123,,,'Industrial soot',411000,7
d,Highly connected non-depopulating cities,-8.45379,,,'Industrial soot',150400,6
d,Highly connected non-depopulating cities,-7.809919,,,'Industrial soot',230600,5
d,Highly connected non-depopulating cities,-4.499572,,,'Industrial soot',411600,4
d,Highly connected non-depopulating cities,-3.818499,,,'Industrial soot',610900,3
d,Highly connected non-depopulating cities,-3.274527,,,'Industrial soot',211100,2
d,Depopulating cities,-99.381159,,,'Industrial soot',220200,54
d,Depopulating cities,-38.153934,,,'Industrial soot',210800,53
d,Depopulating cities,-34.683399,,,'Industrial soot',230500,52
d,Depopulating cities,-29.552256,,,'Industrial soot',231000,51
d,Depopulating cities,-29.160504,,,'Industrial soot',230300,50
d,Depopulating cities,-26.314895,,,'Industrial soot',210400,49
d,Depopulating cities,-25.165758,,,'Industrial soot',230200,48
d,Depopulating cities,-24.670355,,,'Industrial soot',210700,47
d,Depopulating cities,-21.568404,,,'Industrial soot',220700,46
d,Depopulating cities,-20.736331,,,'Industrial soot',211000,45
d,Depopulating cities,-20.478437,,,'Industrial soot',210300,44
d,Depopulating cities,-19.895354,,,'Industrial soot',211200,43
d,Depopulating cities,-16.442478,,,'Industrial soot',220500,42
d,Depopulating cities,-15.684862,,,'Industrial soot',230900,41
