city_id,age_group,sex,population,pm25_observed,pm25_no_depopulation,mortality_rate,mortality_lower,mortality_upper,theta,alpha,mu,nu,c0
110000,25-29,female,908792,35.3569808579869,36.0403711961637,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
120000,25-29,female,437116,45.2378249527158,46.029764804055,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130100,25-29,female,338868,49.3783042215998,49.9156938849632,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130200,25-29,female,181843,41.2715987057364,42.4446905910556,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130300,25-29,female,81559,35.3360910890741,36.7983807908616,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130400,25-29,female,255424,53.285820586741,53.8030736650013,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130500,25-29,female,202480,51.6112380352929,52.124710688618,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130600,25-29,female,312754,43.8418113110291,44.4066514278566,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130700,25-29,female,101208,26.7779352092453,27.2344651068716,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130800,25-29,female,79385,26.208346411397,27.1552027191645,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
130900,25-29,female,199704,48.4032387247743,49.0113013807368,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
131000,25-29,female,168969,45.8715866167542,46.6051539026604,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
131100,25-29,female,107151,50.7690683326224,51.3131128726853,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140100,25-29,female,217917,38.1905281672057,38.6541836227446,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140200,25-29,female,102593,29.8290859413444,30.2364183028998,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140300,25-29,female,37220,39.1417860494198,39.5776363048723,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140400,25-29,female,106591,40.9891015833915,41.49988214668,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140500,25-29,female,82710,42.3311228467202,42.9069893615337,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140600,25-29,female,59631,31.0693753754433,31.4748860652488,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140700,25-29,female,103250,39.0708765740523,39.5338958069412,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140800,25-29,female,177169,47.8848243647004,49.0885574642064,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
140900,25-29,female,84369,32.0384878778986,32.4410994863817,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
141000,25-29,female,145805,41.5651287296916,42.366834717292,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
141100,25-29,female,131159,35.6011281926825,36.1457921433505,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150100,25-29,female,120524,31.0898422547591,31.5872061979192,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150200,25-29,female,78948,27.2383118656384,27.715043403935,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150300,25-29,female,17286,35.4614656968734,36.1309601161844,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150400,25-29,female,99806,22.8880216317052,24.3920188141774,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150500,25-29,female,87193,28.4937357698645,31.2128034130099,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150600,25-29,female,63257,31.0032638657095,31.568040059016,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150700,25-29,female,63116,16.5281142076837,18.4364520826646,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150800,25-29,female,40242,30.4886436045824,31.0050393063728,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
150900,25-29,female,39640,24.3746564213413,24.6463516795886,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210100,25-29,female,282000,39.792075189897,43.8010994913433,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210200,25-29,female,198831,33.1305099185892,35.7953001775171,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210300,25-29,female,76298,34.6958591887728,37.8727667025375,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210400,25-29,female,36729,30.2710214778864,33.3737997019879,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210500,25-29,female,27340,28.5468783671338,31.4705260946615,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210600,25-29,female,48666,28.8803824161294,31.7682238544993,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210700,25-29,female,62217,37.1398222355451,40.2183909627422,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210800,25-29,female,52856,35.3273206144965,38.5625404517236,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
210900,25-29,female,40678,33.3822154187907,36.3278733278673,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
211000,25-29,female,35231,37.5104934698819,41.073879311351,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
211100,25-29,female,40369,38.2273106129575,41.7331738753896,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
211200,25-29,female,55756,36.0668432552126,39.6645015036021,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
211300,25-29,female,71295,31.528813566263,33.7454111586736,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
211400,25-29,female,60045,33.9084017504123,36.0527884765403,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220100,25-29,female,276374,39.0103958569659,43.1936130708196,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220200,25-29,female,83701,31.9753840458087,35.3071173479639,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220300,25-29,female,39895,36.2222174618065,39.8576237859697,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220400,25-29,female,23688,34.4689726624732,38.2166748309668,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220500,25-29,female,42110,28.6023059619722,31.5902190506029,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220600,25-29,female,20070,24.5411762470718,27.1604716817437,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220700,25-29,female,52788,33.4920222065242,37.0383310880689,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
220800,25-29,female,32542,27.7134795689902,30.4439778432669,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230100,25-29,female,272786,32.1820085879075,35.706763267958,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230200,25-29,female,89316,25.5650380231828,28.3404385826071,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230300,25-29,female,30881,24.6394355873247,27.3004436083642,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230400,25-29,female,19327,21.5125753118395,23.8317898326376,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230500,25-29,female,26894,23.9417569665604,26.5135593434797,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230600,25-29,female,69524,29.7445978238702,33.0521066220688,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230700,25-29,female,17977,18.5935980571327,20.6835187966747,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230800,25-29,female,50543,24.9715864094793,27.6580159525281,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
230900,25-29,female,14334,24.1411855763637,26.8052769402259,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
231000,25-29,female,46482,23.0209222523651,25.6023338796726,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
231100,25-29,female,30218,18.8200207115367,20.9795468693698,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
231200,25-29,female,91959,31.123657683399,34.5523232020111,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
310000,25-29,female,1025929,28.5869947336518,28.8571071442119,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320100,25-29,female,365462,34.6032230914978,34.9458487088089,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320200,25-29,female,257048,34.1207871311683,34.4554668912622,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320300,25-29,female,265965,48.8227112525836,49.2768212006589,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320400,25-29,female,174553,36.3409789249314,36.7012907421683,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320500,25-29,female,503975,32.0076941123163,32.3168284358653,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320600,25-29,female,203998,31.2878847274971,31.6547947476196,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320700,25-29,female,133165,40.3134359212193,40.7458990520298,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320800,25-29,female,132910,39.6125571783113,40.0591170970519,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
320900,25-29,female,139155,34.0333431662888,34.3274985755628,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
321000,25-29,female,119577,37.1759330570611,37.6804805935538,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
321100,25-29,female,91980,36.7723177387094,37.1648286140977,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
321200,25-29,female,111058,35.9934457054643,36.281417779077,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
321300,25-29,female,156067,42.7574525020604,43.2011234519159,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330100,25-29,female,520079,25.219052164818,25.4313470199167,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330200,25-29,female,325165,22.8846856260415,23.0687431745423,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330300,25-29,female,321269,20.8554140772342,21.0088948763888,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330400,25-29,female,198036,29.7636226904035,30.0274339946384,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330500,25-29,female,113578,29.2293671158011,29.4934344643884,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330600,25-29,female,159273,25.3129488403836,25.5177641588777,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330700,25-29,female,254334,24.1122644435836,24.3031191555225,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330800,25-29,female,53048,23.12594101512,23.3157421493936,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
330900,25-29,female,25746,23.1542326784509,23.346176178885,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
331000,25-29,female,181960,21.6347873935781,21.7989609330706,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
331100,25-29,female,61607,20.1601530354043,20.3131762777083,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
340100,25-29,female,398269,36.0719691699866,36.4283238390039,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
340200,25-29,female,123564,33.4601192748921,33.7693634701982,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
340300,25-29,female,108242,43.9532311247386,44.3832757032103,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
340400,25-29,female,80947,43.2479711000515,43.684332429868,0.000144254138042862,0.00013072018712723,0.00015853705562566,0.1585,1.6,15.5,36.8,2.4
