city_id,panel,record_type,estimate,group,lower,upper,label,n
330900,a,city,-0.1919435004341,-0.24 to -0.068,,,,
331000,a,city,-0.164173539492499,-0.24 to -0.068,,,,
331100,a,city,-0.153023242304002,-0.24 to -0.068,,,,
340100,a,city,-0.3563546690173,-0.46 to -0.24,,,,
340200,a,city,-0.3092441953061,-0.46 to -0.24,,,,
340300,a,city,-0.430044578471701,-0.46 to -0.24,,,,
340400,a,city,-0.436361329816499,-0.46 to -0.24,,,,
340500,a,city,-0.328742711809994,-0.46 to -0.24,,,,
340600,a,city,-0.449158399612202,-0.46 to -0.24,,,,
340700,a,city,-0.315481824128703,-0.46 to -0.24,,,,
340800,a,city,-0.323042714558301,-0.46 to -0.24,,,,
341000,a,city,-0.1972751328424,-0.24 to -0.068,,,,
341100,a,city,-0.376851039899904,-0.46 to -0.24,,,,
341200,a,city,-0.500680768224797,-0.64 to -0.46,,,,
341300,a,city,-0.436351329546703,-0.46 to -0.24,,,,
341500,a,city,-0.373856088039901,-0.46 to -0.24,,,,
341600,a,city,-0.474834011767499,-0.64 to -0.46,,,,
341700,a,city,-0.2588477124728,-0.46 to -0.24,,,,
341800,a,city,-0.250393423332799,-0.46 to -0.24,,,,
350100,a,city,-0.147181112083398,-0.24 to -0.068,,,,
350200,a,city,-0.169774330838699,-0.24 to -0.068,,,,
350300,a,city,-0.1488356103503,-0.24 to -0.068,,,,
350400,a,city,-0.173873313162801,-0.24 to -0.068,,,,
350500,a,city,-0.158256529367801,-0.24 to -0.068,,,,
350600,a,city,-0.1898666821081,-0.24 to -0.068,,,,
350700,a,city,-0.1626395230568,-0.24 to -0.068,,,,
350800,a,city,-0.191445169943901,-0.24 to -0.068,,,,
350900,a,city,-0.1441898652504,-0.24 to -0.068,,,,
360100,a,city,-0.3495310819631,-0.46 to -0.24,,,,
360200,a,city,-0.227080417403997,-0.24 to -0.068,,,,
360300,a,city,-0.360606662548001,-0.46 to -0.24,,,,
360400,a,city,-0.368062642389297,-0.46 to -0.24,,,,
360500,a,city,-0.366666925269701,-0.46 to -0.24,,,,
360600,a,city,-0.2402676002561,-0.46 to -0.24,,,,
360700,a,city,-0.217181767576601,-0.24 to -0.068,,,,
360800,a,city,-0.304239975910498,-0.46 to -0.24,,,,
360900,a,city,-0.357368230593902,-0.46 to -0.24,,,,
361000,a,city,-0.238506371626301,-0.24 to -0.068,,,,
361100,a,city,-0.222927682999998,-0.24 to -0.068,,,,
370100,a,city,-0.462653123756297,-0.64 to -0.46,,,,
370200,a,city,-0.478109973748197,-0.64 to -0.46,,,,
370300,a,city,-0.476441700393998,-0.64 to -0.46,,,,
370400,a,city,-0.475406448722502,-0.64 to -0.46,,,,
370500,a,city,-0.569822174711604,-0.64 to -0.46,,,,
370600,a,city,-0.586148771897001,-0.64 to -0.46,,,,
370700,a,city,-0.484988338338404,-0.64 to -0.46,,,,
370800,a,city,-0.472034035365802,-0.64 to -0.46,,,,
370900,a,city,-0.462636260034806,-0.64 to -0.46,,,,
371000,a,city,-0.522759038911801,-0.64 to -0.46,,,,
371100,a,city,-0.416123435350904,-0.46 to -0.24,,,,
371300,a,city,-0.439207791727398,-0.46 to -0.24,,,,
371400,a,city,-0.507544187998597,-0.64 to -0.46,,,,
371500,a,city,-0.500686412633499,-0.64 to -0.46,,,,
371600,a,city,-0.543062201177499,-0.64 to -0.46,,,,
371700,a,city,-0.495054375502797,-0.64 to -0.46,,,,
410100,a,city,-0.6314646316698,-0.64 to -0.46,,,,
410200,a,city,-0.568461543885697,-0.64 to -0.46,,,,
410300,a,city,-0.833496239546996,-1.7 to -0.64,,,,
410400,a,city,-0.723723185842403,-1.7 to -0.64,,,,
410500,a,city,-0.456426630439594,-0.46 to -0.24,,,,
410600,a,city,-0.471252556569105,-0.64 to -0.46,,,,
410700,a,city,-0.536771899260799,-0.64 to -0.46,,,,
410800,a,city,-0.672907297285796,-1.7 to -0.64,,,,
410900,a,city,-0.513124959215297,-0.64 to -0.46,,,,
411000,a,city,-0.650688359492698,-1.7 to -0.64,,,,
411100,a,city,-0.663987293199106,-1.7 to -0.64,,,,
411200,a,city,-0.989910272337902,-1.7 to -0.64,,,,
411300,a,city,-0.858283089964601,-1.7 to -0.64,,,,
411400,a,city,-0.500373739019501,-0.64 to -0.46,,,,
411500,a,city,-0.536076366765997,-0.64 to -0.46,,,,
411600,a,city,-0.5627358543165,-0.64 to -0.46,,,,
411700,a,city,-0.626883942908002,-0.64 to -0.46,,,,
420100,a,city,-0.621358405373101,-0.64 to -0.46,,,,
420200,a,city,-0.466029294175904,-0.64 to -0.46,,,,
420300,a,city,-1.0514239898723,-1.7 to -0.64,,,,
420500,a,city,-0.890876492228401,-1.7 to -0.64,,,,
420600,a,city,-0.944459407749399,-1.7 to -0.64,,,,
420700,a,city,-0.544811807496998,-0.64 to -0.46,,,,
420800,a,city,-0.771779994978601,-1.7 to -0.64,,,,
420900,a,city,-0.525890073531798,-0.64 to -0.46,,,,
421000,a,city,-0.755439961368296,-1.7 to -0.64,,,,
421100,a,city,-0.432071500076798,-0.46 to -0.24,,,,
421200,a,city,-0.489180413843499,-0.64 to -0.46,,,,
421300,a,city,-0.7676512845294,-1.7 to -0.64,,,,
430100,a,city,-0.564113589369001,-0.64 to -0.46,,,,
430200,a,city,-0.379571352435598,-0.46 to -0.24,,,,
430300,a,city,-0.584342860200195,-0.64 to -0.46,,,,
430400,a,city,-0.4519858378709,-0.46 to -0.24,,,,
430500,a,city,-0.458935817710898,-0.64 to -0.46,,,,
430600,a,city,-0.642640823548497,-1.7 to -0.64,,,,
430700,a,city,-0.7998170355323,-1.7 to -0.64,,,,
430800,a,city,-0.805476884751599,-1.7 to -0.64,,,,
430900,a,city,-0.624707233935204,-0.64 to -0.46,,,,
431000,a,city,-0.261472718646502,-0.46 to -0.24,,,,
431100,a,city,-0.302224664818301,-0.46 to -0.24,,,,
431200,a,city,-0.557706286830701,-0.64 to -0.46,,,,
431300,a,city,-0.604866197481101,-0.64 to -0.46,,,,
440100,a,city,-0.137429157474198,-0.24 to -0.068,,,,
440200,a,city,-0.190276379464603,-0.24 to -0.068,,,,
440300,a,city,-0.1195222527403,-0.24 to -0.068,,,,
440400,a,city,-0.108058626809498,-0.24 to -0.068,,,,
440500,a,city,-0.1944338225697,-0.24 to -0.068,,,,
440600,a,city,-0.132034521503503,-0.24 to -0.068,,,,
440700,a,city,-0.1107255000138,-0.24 to -0.068,,,,
440800,a,city,-0.108906374192298,-0.24 to -0.068,,,,
