city_id,panel,record_type,estimate,group,marker,year,outcome
340600,a,city,-6.81136237652984,-10 to < -5,FALSE,,
340700,a,city,81.1881352233141,>= 10,FALSE,,
340800,a,city,-21.5781061754396,< -10,FALSE,,
341000,a,city,-2.09090641510545,-5 to < 0,FALSE,,
341100,a,city,1.24905151721693,0 to < 5,FALSE,,
341200,a,city,7.89944569102304,5 to < 10,FALSE,,
341300,a,city,-0.531447859151372,-5 to < 0,FALSE,,
341500,a,city,-21.7046845510835,< -10,FALSE,,
341600,a,city,3.01375669316548,0 to < 5,FALSE,,
341700,a,city,-4.26048007940005,-5 to < 0,FALSE,,
341800,a,city,-1.2978999091174,-5 to < 0,FALSE,,
350100,a,city,16.526184376383,>= 10,FALSE,,
350200,a,city,46.2323017250924,>= 10,FALSE,,
350300,a,city,15.5553268156867,>= 10,FALSE,,
350400,a,city,-0.676603067522893,-5 to < 0,FALSE,,
350500,a,city,8.04268125626112,5 to < 10,FALSE,,
350600,a,city,5.0799555840426,5 to < 10,FALSE,,
350700,a,city,1.32664385601773,0 to < 5,FALSE,,
350800,a,city,6.41098320209256,5 to < 10,FALSE,,
350900,a,city,11.5093359451962,>= 10,FALSE,,
360100,a,city,24.044127533482,>= 10,FALSE,,
360200,a,city,1.98440670321523,0 to < 5,FALSE,,
360300,a,city,-2.68048519424216,-5 to < 0,FALSE,,
360400,a,city,-2.71744624086815,-5 to < 0,FALSE,,
360500,a,city,5.58665840119276,5 to < 10,FALSE,,
360600,a,city,2.58337510531873,0 to < 5,FALSE,,
360700,a,city,7.18851418907236,5 to < 10,FALSE,,
360800,a,city,-7.09228601144327,-10 to < -5,FALSE,,
360900,a,city,-7.60000154993246,-10 to < -5,FALSE,,
361000,a,city,-7.60270091278624,-10 to < -5,FALSE,,
361100,a,city,-1.34745302516951,-5 to < 0,FALSE,,
370100,a,city,13.4350354816072,>= 10,FALSE,,
370200,a,city,15.5665112694802,>= 10,FALSE,,
370300,a,city,3.83042234831304,0 to < 5,FALSE,,
370400,a,city,3.39115721050966,0 to < 5,FALSE,,
370500,a,city,7.77168214812478,5 to < 10,FALSE,,
370600,a,city,1.92178699756408,0 to < 5,FALSE,,
370700,a,city,3.30680200976399,0 to < 5,FALSE,,
370800,a,city,3.41493744358539,0 to < 5,FALSE,,
