city_id,year,province_id,PM1,PM2_5,PM10,lnPM1,lnPM2_5,lnPM10,Shrinkage_pop,Impervious,UR,lnPGDP,Open,lnTech,ER,lnFixed,DZ,NDVI,Temperature,Precipitation,WindSpeed,aq_phase1_post,aq_phase2_post,post_inspection,post_inspection_lag1,post_air_inspection,inspection_current_year,inspection_air_current_year
110000,2011,110000,37.6304332470189,68.8355133186507,117.685818386474,3.62781311787999,4.23171979372035,4.76801851751209,0,19.5590041790559,0.944596603803114,2.19368146461737,1.54890919396221,8.38822281011928,0,8.2069178261025,30,0.613400852354012,11.1313200268059,1.68405129816312,3.05555086870257,0,0,0,0,0,0,0
110000,2012,110000,36.7862914427934,66.8723595197873,114.384422777514,3.6051252606324,4.2027857206204,4.73956490514225,0,19.8965954304446,0.945279383429672,2.24447997834237,1.44107973526507,8.56388591940822,0,8.27605703747409,30,0.632726368767705,10.5258714926631,1.76954635695309,3.07858190522619,1,0,0,0,0,0,0
110000,2013,110000,39.6175055389645,72.1948714202814,117.813566019969,3.67927107964587,4.27936901041573,4.76910342604675,0,20.5249653967458,0.94598495783636,2.29036002130227,1.36601966247598,8.92903790648844,1,8.33920012418776,30,0.634629709210562,11.0513082022762,1.6649548730537,2.97296496920504,1,0,0,0,0,0,0
110000,2014,110000,40.6795206572996,73.6262027626579,120.9310039434,3.70572478785871,4.29900097817323,4.79522016761834,0,20.8116290855968,0.946377681115944,2.35036669075104,1.19677994799838,9.14056147736827,1,8.40194343117227,30,0.620381662501625,12.6099468997846,1.40944112355019,2.7914086209709,1,0,0,0,0,0,0
110000,2015,110000,35.0026743337105,63.7012960946598,105.767152193556,3.55542446810494,4.15420490922607,4.66124000045783,0,21.103686201939,1,2.41134576595317,0.864304129844689,9.27481639116055,1,8.45757578965284,30,0.635921109523346,11.7957214536209,1.64156709884825,2.85272646170699,1,0,0,0,0,0,0
110000,2016,110000,31.8344632916633,57.1016979469851,94.9751731759689,3.4605494542618,4.04483385259437,4.5536155224568,0,21.3358504856307,1,2.48629585884881,0.730941561717664,9.39690292302739,1,8.43699636279339,30,0.652570717073792,11.5045475141906,2.15235658021307,2.88629686222177,1,0,0,0,0,0,0
110000,2017,110000,28.5985715314064,50.9639081298587,90.3364290987457,3.35335677012412,3.93111769846973,4.50354080209019,0,21.5278411415587,1,2.53057624295686,0.781562038457802,9.54473903165049,1,8.45481113936524,30,0.652570004190378,12.1604221224051,1.78135942270692,2.92117339271035,1,0,1,0,1,1,1
110000,2018,110000,25.2458111648292,44.12325500927,86.190032231604,3.22866024749715,3.78698696793935,4.45655453561914,0,21.6992127735676,1,2.56095740818882,0.899932840364613,9.7544653661431,1,8.36384205230563,30,0.654455579631957,11.653664792823,1.67361050662455,2.87347301221923,1,0,1,1,1,0,0
110000,2019,110000,22.2490095930661,38.825091442328,70.8519410453035,3.10229749495034,3.65906672427545,4.26059236230769,0,21.8143018224573,1,2.67791593599089,0.813037488088646,9.7887498750657,1,8.3257394140978,30,0.648805971169353,12.1588728709431,1.39824830804711,2.78650568141463,1,0,1,1,1,0,0
110000,2020,110000,20.4975499053324,35.3569808579869,62.5820105288373,3.02030536218861,3.56549585114863,4.13647786506307,0,21.8327974929286,1,2.68677058589013,0.64039864563947,9.89217379263586,1,8.34258803424232,30,0.661811654543995,11.6927540303505,1.52499357541653,2.71026701480283,1,0,1,1,1,0,0
